fecha,planta_id,linea_id,familia_proceso,production_volume_ton,utilization_rate,sec_kwh_ton,sec_target_kwh_ton,sec_gap,cost_energy_total,cost_energy_per_unit,emissions_kg,availability_rate,quality_rate_proxy,oee_synthetic,n_desvios,n_paradas,horas_parada,loss_value_proxy_eur,loss_value_per_ton
2024-09-28,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,105.07129999999998,0.8326933333333334,564.4440499459662,700.3000000000001,-135.85595005403388,6027.546700000001,3.462351832983767,12104.072380000001,0.8915000000000001,0.9604119999999999,0.7341686163865849,1,1,2.604,15586.944058631001,148.3463520355321
2024-10-10,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,120.6055,0.9820633333333335,531.9711167702054,700.2999999999998,-168.32888322979443,7619.802900000001,3.446726573394303,13406.80077,1.0,0.9603296666666666,0.9431386383166668,2,0,0.0,9759.678395232,80.9223326899022
2024-11-02,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,118.70220000000002,0.92545,534.3682908240785,700.3000000000001,-165.93170917592158,6942.501400000001,3.4428409604294923,13201.0314,1.0,0.9623066666666666,0.8905557369966668,0,0,0.0,9003.20032342,75.8469541711948
2024-11-24,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,92.4121,0.7965866666666667,653.4728286141748,700.2999999999998,-46.82717138582507,7230.8721000000005,4.453285425676456,12102.661769999999,0.804375,0.9615170000000001,0.6559067805037917,2,1,4.695,22834.553903028,247.0948490839187
2025-03-01,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,103.15549999999999,0.9292766666666666,643.0782965298994,700.3000000000001,-57.22170347010069,9628.428,6.051592991542773,13308.962359999998,0.8865416666666667,0.9638333333333334,0.8178607036498616,0,1,2.723,19581.667159696997,189.826690381967
2025-03-10,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,119.43969999999999,1.0270666666666668,579.1607613470354,700.3000000000001,-121.13923865296465,12000.176399999998,5.007267029861533,14284.390029999999,1.0,0.9575493333333333,0.9834094698666666,0,0,0.0,14273.084707678,119.50033956614091
2025-04-14,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,121.2984,1.0211033333333335,571.8432102499136,700.3000000000001,-128.4567897500865,11264.0491,5.229771257467529,14426.359959999998,1.0,0.9622886666666667,0.9824857124699999,1,0,0.0,13447.695952490001,110.86457820127885
2025-05-30,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,118.58440000000002,1.0026433333333333,567.7392161874335,700.3000000000001,-132.56078381256657,9964.567399999998,4.541689819403199,14055.51657,1.0,0.9624553333333333,0.9649671657266666,0,0,0.0,12095.469906422,101.99882873651171
2025-07-29,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,114.72930000000001,0.9945166666666667,570.3737534368748,700.3000000000001,-129.92624656312523,7994.685100000001,3.9555804371105885,12816.77577,1.0,0.9594586666666666,0.95432136387,1,0,0.0,10057.867766119,87.66607802992783
2025-09-10,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,117.89090000000002,0.9962066666666667,546.0433441741899,700.3000000000001,-154.25665582581018,7922.4188,4.166550873283647,13438.76811,1.0,0.9633596666666667,0.9596370872866666,2,0,0.0,9971.245026137,84.58027741019025
2025-10-20,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,114.3018,0.9794266666666668,565.0321402531661,700.3000000000001,-135.267859746834,8265.2592,4.299132381022015,13364.31138,1.0,0.9593203333333333,0.9396685532633332,1,0,0.0,10367.618893791,90.70389874692262
2025-11-20,PLT_BIZ,PLT_BIZ_L02,TratamientoTermico,121.2883,0.9961866666666666,545.4286028716272,700.2999999999998,-154.87139712837268,8468.6869,3.70906344386677,13761.3771,1.0,0.9630553333333335,0.9593732953533333,0,0,0.0,10580.382586731997,87.2333323719765
2024-01-03,PLT_BIZ,PLT_BIZ_L03,Acabado,153.42249999999999,0.92333,466.35530198972606,507.04000000000013,-40.684698010274076,9479.294899999999,2.9759678551999382,15506.864399999999,0.9180416666666668,0.9746720000000001,0.8454096593967227,1,0,0.0,11580.919916987,75.48384309333377
2024-01-26,PLT_BIZ,PLT_BIZ_L03,Acabado,170.4995,1.0105033333333335,414.13734183968444,507.04,-92.90265816031558,10479.278299999998,3.5609521823565804,16035.510329999997,1.0,0.9728873333333334,0.9830792927866666,1,0,0.0,12811.719575653999,75.14227065565586
