planta_id,linea_id,oee_promedio
PLT_CAN,PLT_CAN_L02,0.9232019327474963
PLT_BIZ,PLT_BIZ_L02,0.9243514115933769
PLT_ALA,PLT_ALA_L02,0.9259525957047433
PLT_CAN,PLT_CAN_L01,0.9279948611878844
PLT_ALA,PLT_ALA_L01,0.9297766219709231
PLT_ALA,PLT_ALA_L03,0.9345244539680178
PLT_CAN,PLT_CAN_L03,0.9385406404282782
PLT_BIZ,PLT_BIZ_L01,0.9391311306501541
PLT_BIZ,PLT_BIZ_L03,0.9422929365415915
PLT_BIZ,PLT_BIZ_L04,0.9477447131902105
PLT_CAN,PLT_CAN_L04,0.9482974159698421
PLT_ALA,PLT_ALA_L04,0.9514362524081973
