fecha,planta_id,linea_id,familia_proceso,production_volume,planned_vs_actual_utilization,sec,sec_vs_target,sec_vs_benchmark,cost_energy_per_unit,emissions_per_unit,oee_synthetic,availability_rate,performance_loss_proxy,quality_loss_proxy,stop_density,process_deviation_density,loss_value_proxy,thermal_loss_proxy,process_loss_proxy,line_criticality_weight,trend_sec_7d,trend_oee_7d
2024-01-01,PLT_ALA,PLT_ALA_L01,Laminacion,195.39360000000002,1.143026515151515,409.3370418093211,-149.14295819067894,-148.1879581906789,3.881844269520663,91.59141804030429,0.9760670557233334,1.0,0.0,0.029536333333333276,0.0,0.005117874894571777,13568.713857408,0.0,6074.862993719182,0.8,0.0,0.0
2024-01-02,PLT_ALA,PLT_ALA_L01,Laminacion,188.9595,1.1834848484848486,430.7317344366334,-127.7482655633666,-126.79326556336656,4.170543496432068,96.57527332576558,1.0051480352266666,1.0,0.0,0.03486766666666663,0.0,0.015876417962579284,14071.042155318,0.0,9226.92200471391,0.8,0.0,0.0
2024-01-03,PLT_ALA,PLT_ALA_L01,Laminacion,187.66680000000002,1.1058143939393938,428.24828203307567,-130.23171796692435,-129.2767179669243,3.919645587154761,95.98960023829466,0.9409591619866666,1.0,0.02688333333333348,0.03336666666666677,0.0,0.01598577905095627,13992.527454314,0.0,9014.61611702931,0.8,9.455620111877248,-0.017553946868333586
2024-01-04,PLT_ALA,PLT_ALA_L01,Laminacion,193.165,1.126034090909091,414.9990278775378,-143.48097212246222,-142.52597212246218,4.004742624606677,92.66123055418942,0.96398723534,1.0,0.009090000000000042,0.027179333333333333,0.0,0.005176921284911863,13675.089276068,0.0,5852.568790479608,0.8,1.4502505801091694,-0.010042833439000334
2024-01-05,PLT_ALA,PLT_ALA_L01,Laminacion,194.1278,1.1050984848484848,404.93011637464633,-153.5498836253537,-152.59488362535365,4.201941725235922,90.87850199713796,0.9394460357533334,1.0,0.02751333333333328,0.03404166666666686,0.0,0.0051512457257538585,13734.740949311998,0.0,6697.516630997911,0.8,-2.4546557428445728,-0.011440283982666666
2024-01-06,PLT_ALA,PLT_ALA_L01,Laminacion,195.00900000000001,1.118132575757576,397.71399115153463,-160.76600884846528,-159.81100884846535,3.2059833352421805,89.21528139726884,0.9507686097,1.0,0.016043333333333187,0.03355166666666676,0.0,0.010255936905476156,12357.994075030001,0.0,6919.440302515144,0.8,-4.250553189440876,-0.008587718719523718
2024-01-07,PLT_ALA,PLT_ALA_L01,Laminacion,198.8485,1.1421856060606062,384.7940287115323,-173.68597128846773,-172.73097128846769,2.9806800442734347,86.18272971634183,0.9780490970533332,1.0,0.0,0.026993333333333314,0.0,0.0,11636.892710053,0.0,4057.687513889562,0.8,-5.820810411499763,-0.0037259233320237487
2024-01-08,PLT_ALA,PLT_ALA_L01,Laminacion,189.4248,1.0801666666666667,420.30561233767986,-138.17438766232004,-137.21938766232012,4.508992672541298,93.50123373497028,0.9246539729933333,1.0,0.04945333333333324,0.027229666666666597,0.0,0.0,13863.935770873999,0.0,4862.9083343518505,0.8,-4.83828248806966,-0.006447176507380941
2024-01-09,PLT_ALA,PLT_ALA_L01,Laminacion,195.07650000000004,1.149628787878788,402.9960824867321,-155.48391751326778,-154.52891751326786,4.134887123166718,90.48927205480925,0.9831004825666666,1.0,0.0,0.02837966666666658,0.0,0.005126194082834169,13398.468454785,0.0,5864.710547010847,0.8,-3.0456970493521562,0.0030843035123809637
2024-01-10,PLT_ALA,PLT_ALA_L01,Laminacion,196.2421,1.1172537878787878,411.6328476044075,-146.8471523955925,-145.89215239559246,3.8927211719226924,92.19149718638356,0.94978204928,1.0,0.016816666666666702,0.03385066666666681,0.0,0.005095746529414432,13843.598447565997,0.0,6715.938426020794,0.8,0.30803616396166417,0.0006635249550000416
2024-01-11,PLT_ALA,PLT_ALA_L01,Laminacion,196.42149999999998,1.16642803030303,414.75606567365685,-143.72393432634317,-142.76893432634313,4.762775830481579,93.01337669247003,0.9942293184766666,1.0,0.0,0.031307000000000085,0.0,0.0,14428.617633573002,0.0,5575.740891001835,0.8,2.6970576634991894,0.005979575458690512
2024-01-12,PLT_ALA,PLT_ALA_L01,Laminacion,190.1045,1.1006628787878785,431.17816496523847,-127.30183503476155,-126.34683503476151,3.857803400031788,96.78310760660584,0.9407444111,1.0,0.03141666666666687,0.028864,0.0,0.0052602647491248235,13929.651556071,0.0,6184.26342277916,0.8,5.415851094003183,0.0009791401190476536
2024-01-13,PLT_ALA,PLT_ALA_L01,Laminacion,191.6666,1.1082386363636363,409.11669474861924,-149.36330525138067,-148.40830525138074,4.311390672084393,91.96215668248931,0.9418986063033336,1.0,0.02475000000000005,0.03417166666666682,0.0,0.0,13029.308994552,0.0,5361.587795651905,0.8,3.8026102340465164,-0.0023264914330952476
2024-01-14,PLT_ALA,PLT_ALA_L01,Laminacion,194.6997,1.1060151515151515,403.14073088504045,-155.33926911495956,-154.38426911495952,4.184019315476873,90.12668483824062,0.9479077282566667,1.0,0.026706666666666656,0.026091999999999893,0.0,0.0,12170.648652108,0.0,4147.817913881655,0.8,-0.7038608026183272,-0.0007742901755951871
2024-01-15,PLT_ALA,PLT_ALA_L01,Laminacion,196.10080000000002,1.1350606060606059,410.16190262768015,-148.31809737231987,-147.36309737231983,4.47819485067174,91.88734931219047,0.97037589012,1.0,0.0011466666666667402,0.028425666666666682,0.0,0.0,13666.085905614,0.0,4936.526187052958,0.8,-0.040219426461689946,-0.0033661832699998836
2024-01-16,PLT_ALA,PLT_ALA_L01,Laminacion,189.39440000000002,1.1400643939393942,431.3730350064017,-127.10696499359818,-126.15196499359826,4.759014166309842,96.65713379065059,0.96751303509,1.0,0.0,0.03561066666666646,0.0,0.005279987159071228,14223.057573803999,0.0,7158.367316952663,0.8,0.7855286440654006,0.00045176492404768815
