planta_id,linea_id,turno,sec_shift,shift_variance_score,scrap_pct,stop_minutes
PLT_ALA,PLT_ALA_L01,C,442.1597901200013,29.617032092281807,3.529055950752394,10.41734610123119
PLT_ALA,PLT_ALA_L01,A,427.04756412113903,25.116331742012402,2.9341474692202465,11.908645690834472
PLT_ALA,PLT_ALA_L01,B,419.1772866158062,22.875700445904332,2.921599042407661,7.1661833105335155
PLT_ALA,PLT_ALA_L02,C,465.9103197027303,29.70683557345955,4.279261012311902,7.270341997264022
PLT_ALA,PLT_ALA_L02,A,450.7205050915924,24.714946727875464,3.662546648426813,7.898084815321478
PLT_ALA,PLT_ALA_L02,B,449.31994946261847,23.28230729524563,3.6466176470588234,9.051463748290013
PLT_ALA,PLT_ALA_L03,C,396.3526721893007,26.616988463856078,2.8967053351573187,10.938467852257183
PLT_ALA,PLT_ALA_L03,A,384.36602540191683,21.8429643430854,2.3186555403556772,9.756361149110807
PLT_ALA,PLT_ALA_L03,B,380.6546099913154,20.563276412631993,2.3399270861833106,9.73124487004104
PLT_ALA,PLT_ALA_L04,C,365.96535542410004,24.58016143647693,2.317797948016416,7.617455540355676
PLT_ALA,PLT_ALA_L04,A,353.4061197687435,19.937810355182,1.6972915184678523,4.715294117647059
PLT_ALA,PLT_ALA_L04,B,354.7497870826253,18.437419949901255,1.7181822161422708,7.5673871409028735
PLT_BIZ,PLT_BIZ_L01,C,482.90527525532707,33.84537978045814,3.4732770177838574,6.7879616963064295
PLT_BIZ,PLT_BIZ_L01,A,468.5621101220841,30.317094094357017,2.946710396716826,6.559616963064295
PLT_BIZ,PLT_BIZ_L01,B,459.0132637117104,28.087970162398637,2.953462380300958,7.114555403556771
PLT_BIZ,PLT_BIZ_L02,C,600.0561647116733,42.487065270157615,4.2080381668946645,11.623748290013678
PLT_BIZ,PLT_BIZ_L02,A,573.9495705330595,37.667377891022305,3.6625071135430916,7.178495212038303
PLT_BIZ,PLT_BIZ_L02,B,564.3692021559738,36.05721883769538,3.6852051983584135,9.499781121751026
PLT_BIZ,PLT_BIZ_L03,C,445.79714003095086,32.87513717063338,2.892736388508892,8.510396716826266
PLT_BIZ,PLT_BIZ_L03,A,431.179697657366,28.55387439639605,2.319281805745554,7.73203830369357
PLT_BIZ,PLT_BIZ_L03,B,424.682325497241,26.785867816299312,2.3234522571819425,7.196060191518468
PLT_BIZ,PLT_BIZ_L04,C,356.1387525799103,22.855764245543376,2.2614243502051985,7.515020519835841
PLT_BIZ,PLT_BIZ_L04,A,342.513694471188,18.786670531491005,1.6970714090287276,8.544705882352941
PLT_BIZ,PLT_BIZ_L04,B,337.0305832212813,16.985973018114862,1.6991649794801642,7.511901504787962
PLT_CAN,PLT_CAN_L01,C,425.1001815037283,28.08241042840209,3.498737756497948,13.415129958960327
PLT_CAN,PLT_CAN_L01,A,412.163620138858,23.763328345320197,2.9597239398084816,7.599562243502052
PLT_CAN,PLT_CAN_L01,B,403.3188183693173,21.66062361216279,2.916309849521204,9.021094391244871
PLT_CAN,PLT_CAN_L02,C,538.5717575902128,36.13180691338343,4.249013132694938,11.093351573187414
PLT_CAN,PLT_CAN_L02,A,514.727319004641,32.09195145710594,3.6897181942544464,5.934829001367989
PLT_CAN,PLT_CAN_L02,B,509.71714898837996,29.665260096456976,3.672120930232558,11.204897400820792
PLT_CAN,PLT_CAN_L03,C,417.71968283503975,30.13218547866308,2.918870588235294,7.338139534883721
PLT_CAN,PLT_CAN_L03,A,404.13922525036116,25.56054540758956,2.3099477428180575,9.254938440492475
PLT_CAN,PLT_CAN_L03,B,404.34574786381523,23.673079464213853,2.3322711354309167,8.69376196990424
PLT_CAN,PLT_CAN_L04,C,402.7641832040195,28.42823674246882,2.2557039671682624,10.82437756497948
PLT_CAN,PLT_CAN_L04,A,386.2011896847986,24.833622551205536,1.724064569083447,6.72155950752394
PLT_CAN,PLT_CAN_L04,B,376.37527085834085,22.11004410363522,1.709544733242134,5.511217510259917
