periodo,planta_id,linea_id,causa_parada,n_eventos,horas_parada,impacto_produccion_proxy,impacto_energia_proxy,emisiones_asociadas_kg,loss_root_cause_score,ranking_causa
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,FalloVision,3,7.981,65.493,2708.5460000000003,443227.9412699993,1004.9303,1
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,VariacionEspesor,1,3.693,30.372,1825.888,443227.9412699993,636.8124,2
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,ParadaPlanificadaUtilidades,1,4.233,32.547,1658.286,443227.9412699993,598.4192999999999,3
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L02,CurvaTermicaFueraBanda,3,7.526,41.182,1394.739,420836.7492100008,589.5327,4
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L04,FalloTransportador,3,5.869,54.952,675.481,483359.6434799996,347.5003,5
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L02,CaidaGasIndustrial,2,4.449,30.579,682.988,420836.7492100008,309.1659,6
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L04,ErrorInspeccion,1,1.355,15.739,652.262,483359.6434799996,230.64809999999997,7
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L02,TermoparDescalibrado,1,3.594,17.636,431.075,420836.7492100008,210.0205,8
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L01,InestabilidadTorque,1,2.434,23.596,140.016,481255.1173999999,102.4828,9
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L01,DesalineacionRodillos,1,0.443,3.965,71.538,481255.1173999999,32.3039,10
2024-04-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,DefectoSuperficial,1,0.606,4.498,27.628,443227.9412699993,22.657400000000003,11
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,ParadaPlanificadaUtilidades,2,10.437999999999999,69.613,1734.7579999999998,454566.0471299996,763.9938999999999,1
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L04,AnomaliaInstrumentacion,2,6.308,66.27199999999999,1949.42,493420.9483800004,744.122,2
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L01,CambioFormatoPlanificado,1,10.606,93.103,1081.558,489366.54781999934,583.1388999999999,3
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,BloqueoManipulador,1,2.843,20.045,1380.678,454566.0471299996,481.08590000000004,4
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,MantenimientoPreventivoProgramado,1,2.383,20.204,1207.477,454566.0471299996,420.0051,5
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,FalloVision,1,3.524,29.494,860.172,454566.0471299996,343.27860000000004,6
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L04,NoConformidadLote,1,6.406,68.917,495.343,493420.9483800004,311.1814,7
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L03,VariacionEspesor,1,2.372,22.557,745.284,454566.0471299996,282.3037,8
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L04,ErrorInspeccion,1,3.993,41.48,488.952,493420.9483800004,247.2856,9
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L04,MantenimientoPreventivoProgramado,1,4.041,46.928,443.391,493420.9483800004,237.30130000000003,10
2024-05-01 00:00:00,PLT_BIZ,PLT_BIZ_L01,ParadaPlanificadaUtilidades,1,3.861,32.036,305.867,489366.54781999934,184.99810000000002,11
