planta_id,linea_id,sec_benchmark_gap,oee_synthetic,process_deviation_risk_score,loss_value_proxy,line_criticality_weight,trend_sec_7d,line_criticality_score,line_criticality_scaling_method,line_criticality_scale_version,line_criticality_comparability_tag,main_loss_driver,recommended_action_initial
PLT_ALA,PLT_ALA_L01,-121.49494434893673,0.9297766219709228,21.00012776181943,15309.72092944194,0.8,0.0296270055043848,20.685531329761925,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_ALA,PLT_ALA_L02,-249.76478660199544,0.925952595704744,29.12664714418368,12927.053335378178,0.8,-0.0620627071223792,21.327759783345257,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_ALA,PLT_ALA_L03,-69.5106211222095,0.9345244539680166,16.241736932833295,13228.586552699076,0.8,0.0368470400580094,17.21188588585551,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_ALA,PLT_ALA_L04,63.76982498541229,0.9514362524081976,10.940360269141348,12999.331989524857,0.4,-0.0712245406730305,18.11485499212876,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_BIZ,PLT_BIZ_L01,-80.81559625827097,0.939131130650154,20.881971207871988,13859.318845323627,0.4,-0.0963048064030092,12.028076549911276,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_BIZ,PLT_BIZ_L02,-124.78591148268468,0.9243514115933764,31.79052123642916,12441.674376761408,0.6,-0.0067115536834934,18.47914559690606,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_BIZ,PLT_BIZ_L03,-22.977702954675554,0.942292936541592,17.327301591453562,13053.73283836492,0.8,0.0306519817580067,16.754857182392048,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_BIZ,PLT_BIZ_L04,50.73474531303183,0.9477447131902108,10.55765440554695,14397.578255076603,1.0,-0.0097856742922216,27.293525539675212,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_CAN,PLT_CAN_L01,-137.02046642243246,0.9279948611878844,20.83848762578723,15239.93497017682,0.6,0.0759546296620576,17.390400997008193,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_CAN,PLT_CAN_L02,-182.77262195077984,0.923201932747496,30.37211743786495,13524.270608986732,1.0,0.0384147219506228,25.734675869936396,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_CAN,PLT_CAN_L03,-47.43854241041007,0.938540640428277,17.940266017412675,12615.501892038505,0.6,-0.1066241382506521,13.53164777598307,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
PLT_CAN,PLT_CAN_L04,93.7671914956464,0.948297415969844,11.394100248583811,13178.79613004848,0.4,0.0158311639811742,23.644716436798845,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release,DesvioProceso,Optimizar parametros de proceso y disciplina operativa por turno
