score_name,legacy_outlier_median_abs_shift,anchored_outlier_median_abs_shift,spearman_anchored_vs_legacy,top10_overlap_anchored_vs_legacy,comparability_tag
equipment_energy_anomaly_score,42.100374982756435,0.0,0.9952232833772348,3.0,absolute_comparable_inter_release
process_deviation_risk_score,0.0,0.0,0.9820739654223202,7.0,absolute_comparable_inter_release
line_criticality_score,23.49999258562696,0.0,0.4965034965034965,9.0,contextual_comparable_inter_release
opportunity_priority_score,15.039360983511251,0.0,0.9594007815892314,9.0,contextual_comparable_inter_release
energy_saving_score,24.746848665946544,0.0,0.9990497004410581,,absolute_comparable_inter_release
operational_impact_score,32.32521468388105,0.0,0.5746017518701797,,absolute_comparable_inter_release
emissions_reduction_score,10.403769125928115,0.0,0.0,,absolute_comparable_inter_release
implementation_feasibility_score,34.81341342189948,0.0,0.9998914400474466,,absolute_comparable_inter_release
payback_score,0.5352953685765129,0.0,0.9900643338044635,,absolute_comparable_inter_release
strategic_priority_score,25.526817918448593,0.0,1.0,,absolute_comparable_inter_release
financial_resilience_score,45.933542218676806,0.0,0.9999728611167601,,contextual_comparable_inter_release
uncertainty_index,32.12602361592546,0.0,1.0,,contextual_comparable_inter_release
