periodo,planta_id,causa_parada,score_total
2025-07-01 00:00:00,PLT_ALA,CambioFormatoPlanificado,3745.9822
2025-06-01 00:00:00,PLT_CAN,MantenimientoPreventivoProgramado,2421.3895
2025-10-01 00:00:00,PLT_CAN,FalloHidraulico,2293.0112
2025-05-01 00:00:00,PLT_ALA,AtascoMaterial,2260.64
2024-02-01 00:00:00,PLT_ALA,MantenimientoPreventivoProgramado,2048.4458
2025-07-01 00:00:00,PLT_ALA,FalloHidraulico,1880.3526
2025-09-01 00:00:00,PLT_ALA,InspeccionSeguridadReglamentaria,1840.0141999999998
2025-12-01 00:00:00,PLT_ALA,MantenimientoPreventivoProgramado,1832.7917999999997
2024-07-01 00:00:00,PLT_ALA,InspeccionSeguridadReglamentaria,1814.8754999999999
2025-08-01 00:00:00,PLT_BIZ,CambioFormatoPlanificado,1692.6909000000003
2024-08-01 00:00:00,PLT_BIZ,ParadaPlanificadaUtilidades,1689.6697000000001
2025-10-01 00:00:00,PLT_CAN,InspeccionSeguridadReglamentaria,1670.2315
2025-03-01 00:00:00,PLT_CAN,CambioFormatoPlanificado,1614.61
2024-12-01 00:00:00,PLT_CAN,CambioFormatoPlanificado,1581.4463
2025-10-01 00:00:00,PLT_ALA,InspeccionSeguridadReglamentaria,1554.8899
2025-11-01 00:00:00,PLT_BIZ,ParadaPlanificadaUtilidades,1553.9132
2025-06-01 00:00:00,PLT_CAN,CurvaTermicaFueraBanda,1537.5801000000001
2024-02-01 00:00:00,PLT_ALA,InspeccionSeguridadReglamentaria,1524.7631999999999
2025-03-01 00:00:00,PLT_CAN,MantenimientoPreventivoProgramado,1515.6622
2024-10-01 00:00:00,PLT_ALA,CambioFormatoPlanificado,1514.7765
