planta_id,linea_id,loss_promedio,sec_promedio,oee_promedio,criticidad_global_score
PLT_ALA,PLT_ALA_L01,15309.720929441963,429.70691064422346,0.9297766219709231,0.6897047437786159
PLT_CAN,PLT_CAN_L02,13524.270608986735,522.3090894035297,0.9232019327474963,0.686741778040782
PLT_BIZ,PLT_BIZ_L02,12441.674376761424,580.2957998716242,0.9243514115933769,0.6846113976200462
PLT_CAN,PLT_CAN_L01,15239.934970176815,414.18138857072745,0.9279948611878844,0.6800726100008652
PLT_BIZ,PLT_BIZ_L01,13859.318845323614,470.3862587348888,0.9391311306501541,0.6657646347614237
PLT_ALA,PLT_ALA_L02,12927.053335378165,455.316924752314,0.9259525957047433,0.6338665948378059
PLT_BIZ,PLT_BIZ_L03,13053.732838364935,434.09387980866256,0.9422929365415915,0.6225331702152604
PLT_BIZ,PLT_BIZ_L04,14397.578255076598,345.5815729464108,0.9477447131902105,0.6149111042169362
PLT_ALA,PLT_ALA_L03,13228.586552699082,387.56096164112853,0.9345244539680178,0.6055582997862203
PLT_CAN,PLT_CAN_L04,13178.796130048479,388.61401912902545,0.9482974159698421,0.6011959721883695
PLT_CAN,PLT_CAN_L03,12615.50189203851,409.63304035292794,0.9385406404282782,0.5979445737145936
PLT_ALA,PLT_ALA_L04,12999.331989524842,358.61665261879114,0.9514362524081973,0.5796282873369346
