timestamp,planta_id,linea_id,equipo_id,fuente_energia,consumo_kwh,demanda_kw,factor_carga,energia_reactiva_proxy,coste_energia_proxy,precio_energia_proxy
2024-01-01T00:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1724.5099,1724.5099,1.07432,31.0412,174.7384,101.3264
2024-01-01T01:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1392.4918,1392.4918,0.99156,25.0649,144.8431,104.0172
2024-01-01T02:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1389.0559,1389.0559,0.98804,25.003,139.4652,100.4029
2024-01-01T03:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1422.2768,1422.2768,1.0221,25.601,141.0713,99.187
2024-01-01T04:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1447.1478,1447.1478,1.04759,26.0487,144.6118,99.9289
2024-01-01T05:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1379.4229,1379.4229,0.97816,24.8296,135.8176,98.4597
2024-01-01T06:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1534.5547,1534.5547,1.14072,27.622,169.5985,110.5197
2024-01-01T07:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1485.4147,1485.4147,1.09023,26.7375,160.8442,108.2824
2024-01-01T08:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1434.682,1434.682,1.03811,25.8243,156.3432,108.9741
2024-01-01T09:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1456.581,1456.581,1.06061,26.2185,201.0448,138.0252
2024-01-01T10:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1537.8297,1537.8297,1.14408,27.6809,211.9744,137.84
2024-01-01T11:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1440.126,1440.126,1.0437,25.9223,197.7386,137.3065
2024-01-01T12:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1543.5928,1543.5928,1.15,27.7847,204.8087,132.6831
2024-01-01T13:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,1399.6093,1399.6093,1.00207,25.193,187.0536,133.647
2024-01-01T14:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,GasNatural,827.329,827.329,0.36112,14.8919,92.1638,111.3992
