sector_profile_id,fecha,planta_id,linea_id,familia_proceso,sector_process_family,sec,sec_sector_adjusted,sec_vs_benchmark,sector_benchmark_gap,oee_synthetic,availability_rate,loss_value_proxy,emissions_per_unit,emissions_per_unit_sector_adjusted
tubacex,2024-01-01,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,409.3370418093211,409.3370418093211,-148.1879581906789,557.525,0.9760670557233334,1.0,13568.713857408,91.59141804030428,91.59141804030428
tubacex,2024-01-02,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,430.7317344366334,430.7317344366334,-126.79326556336656,557.525,1.0051480352266666,1.0,14071.042155318,96.57527332576558,96.57527332576558
tubacex,2024-01-03,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,428.24828203307567,428.24828203307567,-129.2767179669243,557.525,0.9409591619866666,1.0,13992.527454314,95.98960023829466,95.98960023829466
tubacex,2024-01-04,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,414.9990278775378,414.9990278775378,-142.52597212246218,557.525,0.96398723534,1.0,13675.089276068,92.66123055418942,92.66123055418942
tubacex,2024-01-05,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,404.93011637464633,404.93011637464633,-152.59488362535365,557.525,0.9394460357533334,1.0,13734.740949311998,90.87850199713796,90.87850199713796
tubacex,2024-01-06,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,397.71399115153463,397.71399115153463,-159.81100884846535,557.525,0.9507686097,1.0,12357.99407503,89.21528139726884,89.21528139726884
tubacex,2024-01-07,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,384.7940287115323,384.7940287115323,-172.73097128846769,557.525,0.9780490970533332,1.0,11636.892710053,86.18272971634183,86.18272971634183
tubacex,2024-01-08,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,420.30561233767986,420.30561233767986,-137.21938766232012,557.525,0.9246539729933332,1.0,13863.935770874,93.50123373497028,93.50123373497028
tubacex,2024-01-09,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,402.9960824867321,402.9960824867321,-154.52891751326786,557.525,0.9831004825666666,1.0,13398.468454785,90.48927205480923,90.48927205480923
tubacex,2024-01-10,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,411.6328476044075,411.6328476044075,-145.89215239559246,557.525,0.94978204928,1.0,13843.598447565995,92.19149718638356,92.19149718638356
tubacex,2024-01-11,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,414.7560656736569,414.7560656736569,-142.76893432634313,557.5250000000001,0.9942293184766666,1.0,14428.617633573002,93.01337669247005,93.01337669247005
tubacex,2024-01-12,PLT_ALA,PLT_ALA_L01,Laminacion,Conformado de Tubo,431.17816496523847,431.17816496523847,-126.34683503476153,557.525,0.9407444111,1.0,13929.651556071,96.78310760660584,96.78310760660584
